Id,Neighborhood,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenQual,GarageCond
95,CollgCr,5,1997,824,905,881,1786,3,Gd,TA
96,Gilbert,8,1993,680,680,790,1470,3,TA,TA
97,CollgCr,5,1999,1588,1588,0,1588,3,Gd,TA
98,Edwards,5,1965,960,960,0,960,3,TA,TA
99,Edwards,5,1920,458,835,0,835,2,TA,TA
100,NAmes,5,1959,950,1225,0,1225,3,TA,
101,NWAmes,7,1977,1610,1610,0,1610,3,Gd,TA
102,SawyerW,5,1985,741,977,755,1732,3,Gd,TA
103,SawyerW,5,1979,0,1535,0,1535,4,TA,TA
104,CollgCr,5,2009,1226,1226,0,1226,3,Gd,TA
105,IDOTRR,4,1931,1040,1226,592,1818,4,TA,TA
106,Somerst,5,2003,1053,1053,939,1992,3,Gd,TA
107,OldTown,7,1885,641,1047,0,1047,2,TA,Fa
108,OldTown,5,1948,789,789,0,789,2,TA,TA
109,IDOTRR,7,1919,793,997,520,1517,3,Fa,
110,NWAmes,6,1977,1844,1844,0,1844,3,TA,TA
111,Edwards,4,1954,994,1216,639,1855,4,TA,TA
112,Gilbert,5,2000,384,774,656,1430,3,TA,TA
113,CollgCr,5,2007,1264,1282,1414,2696,4,Ex,TA
114,Crawfor,5,1953,1809,2259,0,2259,3,Gd,TA
115,Crawfor,8,1945,1028,1436,884,2320,3,Gd,TA
116,Somerst,5,1999,729,729,729,1458,2,TA,TA
117,Sawyer,5,1962,1092,1092,0,1092,3,TA,TA
118,Edwards,5,2006,1125,1125,0,1125,2,TA,TA
119,SawyerW,5,1990,1673,1699,1523,3222,5,Gd,TA
120,CollgCr,5,2005,728,728,728,1456,3,Gd,TA
121,ClearCr,5,1969,938,988,0,988,1,TA,TA
122,IDOTRR,5,1939,732,772,351,1123,3,TA,TA
123,NAmes,7,1958,1080,1080,0,1080,3,TA,TA
124,SawyerW,5,1993,1199,1199,0,1199,2,Gd,TA
125,NWAmes,5,1979,1362,1586,0,1586,3,TA,TA
126,IDOTRR,8,1935,520,520,0,754,2,TA,
127,NPkVill,5,1976,1078,958,0,958,2,TA,TA
128,OldTown,7,1930,672,840,0,840,3,TA,
129,NAmes,5,1966,660,660,688,1348,3,TA,TA
130,NAmes,7,1958,1008,1053,0,1053,3,Ex,TA
131,NAmes,6,1966,924,1216,941,2157,4,Gd,TA
132,Gilbert,5,2000,992,1022,1032,2054,3,Gd,TA
133,NAmes,6,1959,1063,1327,0,1327,3,Gd,TA
134,Timber,5,2001,1267,1296,0,1296,2,Gd,TA
135,Sawyer,6,1968,1461,1721,0,1721,3,TA,TA
136,NWAmes,6,1970,1304,1682,0,1682,3,TA,TA
137,NAmes,5,1967,1214,1214,0,1214,3,TA,TA
138,Mitchel,5,1988,1907,1959,0,1959,5,TA,TA
139,CollgCr,5,1999,1004,1004,848,1852,3,Gd,TA
140,CollgCr,5,1997,928,928,836,1764,3,Gd,TA
141,NAmes,5,1971,864,864,0,864,3,TA,
142,CollgCr,5,2005,1734,1734,0,1734,3,Gd,TA
143,NAmes,4,1952,910,910,475,1385,4,TA,TA
144,CollgCr,5,1999,1490,1501,0,1501,3,Gd,TA
145,Sawyer,5,1963,1728,1728,0,1728,6,TA,TA
146,Edwards,5,2004,970,970,739,1709,3,Gd,TA
147,BrkSide,7,1931,715,875,0,875,2,TA,TA
148,Gilbert,5,2001,884,884,1151,2035,3,Gd,TA
149,SawyerW,5,2004,1080,1080,0,1080,3,Gd,
150,BrkSide,4,1936,896,896,448,1344,3,TA,TA
151,CollgCr,6,1975,969,969,0,969,3,TA,TA
152,NridgHt,5,2007,1710,1710,0,1710,2,Gd,TA
153,NWAmes,5,1971,825,1097,896,1993,4,TA,TA
154,ClearCr,7,1960,1602,1252,0,1252,1,TA,TA
155,OldTown,5,1923,1200,1200,0,1200,4,TA,Fa
156,Edwards,5,1924,572,572,524,1096,2,TA,
157,NAmes,7,1950,0,1040,0,1040,2,TA,TA
158,Timber,5,2009,774,774,1194,1968,4,Ex,TA
159,Somerst,5,2004,991,991,956,1947,3,Gd,TA
160,Gilbert,5,2005,1392,1392,1070,2462,4,Gd,TA
161,Veenker,6,1984,1232,1232,0,1232,3,TA,TA
162,NridgHt,5,2003,1572,1572,1096,2668,3,Ex,TA
163,NridgHt,5,2005,1541,1541,0,1541,3,Gd,TA
164,OldTown,6,1956,882,882,0,882,1,TA,
165,OldTown,7,1926,1149,1149,467,1616,3,Gd,TA
166,Edwards,7,1940,644,808,547,1355,4,TA,
167,ClearCr,5,1955,1617,1867,0,1867,2,TA,TA
168,NridgHt,5,2007,1582,1610,551,2161,3,Ex,TA
169,Gilbert,5,2004,840,840,880,1720,3,Gd,TA
170,Timber,6,1981,1686,1707,0,1707,2,TA,TA
171,OldTown,6,1941,720,854,0,1382,2,TA,TA
172,NAmes,5,1960,1080,1656,0,1656,3,TA,TA
173,StoneBr,7,1987,1064,1064,703,1767,2,Gd,TA
174,NAmes,5,1961,1362,1362,0,1362,3,TA,TA
175,Timber,5,1986,1606,1651,0,1651,3,TA,TA
176,Edwards,7,1950,1202,2158,0,2158,4,Gd,TA
177,ClearCr,5,1988,1151,1164,896,2060,4,TA,TA
178,Sawyer,5,1958,1052,1252,668,1920,4,Gd,TA
179,StoneBr,5,2008,2216,2234,0,2234,1,Ex,TA
180,OldTown,6,1923,968,968,0,968,2,TA,TA
181,Somerst,5,2000,756,769,756,1525,3,Gd,TA
182,Crawfor,6,1920,793,901,901,1802,4,TA,TA
183,Edwards,6,1957,0,1340,0,1340,3,TA,TA
184,OldTown,5,2003,1362,1362,720,2082,3,Gd,TA
185,BrkSide,8,1908,504,936,316,1252,3,TA,TA
186,OldTown,9,1892,1107,1518,1518,3608,4,Ex,TA
187,Mitchel,5,1990,1188,1217,0,1217,3,Gd,TA
188,OldTown,7,1916,660,808,704,1656,3,TA,Fa
189,SawyerW,5,1979,1086,1224,0,1224,2,TA,TA
190,StoneBr,5,2001,1593,1593,0,1593,0,Ex,TA
191,Crawfor,8,1932,853,1549,1178,2727,3,Gd,TA
192,NAmes,9,1972,725,725,754,1479,4,Gd,TA
193,CollgCr,5,1999,1431,1431,0,1431,3,Gd,TA
194,Edwards,5,2004,970,970,739,1709,3,Gd,TA
195,CollgCr,7,1972,864,864,0,864,3,TA,TA
196,NPkVill,6,1976,855,855,601,1456,3,TA,TA
197,Somerst,5,2007,1726,1726,0,1726,3,Ex,TA
198,NAmes,4,1918,1360,1360,1360,3112,4,Gd,TA
199,OldTown,6,1912,755,929,929,2229,5,TA,
200,NridgHt,5,2004,1713,1713,0,1713,3,Ex,TA
201,Edwards,5,2003,1121,1121,0,1121,2,TA,TA
202,Mitchel,6,1977,1196,1279,0,1279,3,TA,TA
203,OldTown,6,1924,617,865,445,1310,2,TA,TA
204,CollgCr,5,2004,848,848,0,848,1,Gd,TA
205,OldTown,7,1947,720,720,564,1284,2,TA,TA
206,Gilbert,5,1990,1424,1442,0,1442,3,TA,TA
207,Sawyer,5,1962,1140,1696,0,1696,3,TA,TA
208,NAmes,5,1960,1100,1100,0,1100,3,TA,TA
209,SawyerW,5,1988,1157,1180,882,2062,3,TA,TA
210,NAmes,7,1964,1092,1092,0,1092,3,TA,Gd
211,Edwards,6,1925,864,864,0,864,2,TA,
212,Edwards,5,2009,1212,1212,0,1212,3,Gd,TA
213,Somerst,5,2009,900,932,920,1852,3,Gd,TA
214,CollgCr,5,1995,990,990,0,990,3,TA,TA
215,CollgCr,7,1977,689,689,703,1392,3,TA,TA
216,NAmes,6,1957,1070,1236,0,1236,2,Gd,TA
217,CollgCr,5,2004,1436,1436,0,1436,3,Gd,TA
218,OldTown,4,1925,686,810,518,1328,3,TA,TA
219,Crawfor,9,1939,798,1137,817,1954,3,Gd,TA
220,Blmngtn,5,2005,1248,1248,0,1248,2,Gd,TA
221,CollgCr,5,2006,1498,1498,0,1498,2,Gd,TA
222,Gilbert,5,2002,1010,1010,1257,2267,4,Gd,TA
223,NWAmes,6,1975,713,811,741,1552,3,TA,TA
224,NAmes,6,1971,864,864,0,864,2,TA,TA
225,NridgHt,5,2003,2392,2392,0,2392,3,Ex,TA
226,BrDale,5,1971,630,630,672,1302,3,TA,TA
227,NoRidge,5,1995,1203,1214,1306,2520,4,Gd,TA
228,BrDale,6,1970,483,483,504,987,2,TA,TA
229,Sawyer,5,1967,912,912,0,912,3,TA,TA
230,Blmngtn,5,2005,1373,1555,0,1555,2,Gd,TA
231,NAmes,6,1959,1194,1194,0,1194,3,TA,TA
232,NoRidge,5,1995,1462,1490,1304,2794,4,Ex,TA
233,BrDale,5,1972,483,483,504,987,2,TA,TA
234,CollgCr,6,1976,894,894,0,894,3,TA,TA
235,Gilbert,5,2002,860,860,1100,1960,4,Gd,TA
236,BrDale,3,1971,483,483,504,987,2,TA,TA
237,CollgCr,5,2004,1414,1414,0,1414,3,Gd,TA
238,SawyerW,7,1993,996,1014,730,1744,3,Gd,TA
239,NridgHt,5,2007,1694,1694,0,1694,3,Gd,TA
240,Edwards,4,1945,735,798,689,1487,3,TA,TA
241,Somerst,5,2008,1566,1566,0,1566,3,Gd,TA
242,OldTown,9,1945,686,866,0,866,2,Gd,
243,OldTown,4,1900,540,889,551,1440,3,TA,TA
244,SawyerW,6,1980,626,626,591,1217,3,TA,TA
245,SawyerW,5,1994,948,1222,888,2110,3,Gd,TA
246,NWAmes,5,1988,1845,1872,0,1872,3,TA,TA
247,OldTown,8,1910,1020,908,1020,1928,4,Fa,Po
248,NAmes,5,1954,1367,1375,0,1375,2,TA,TA
249,CollgCr,5,2003,840,840,828,1668,3,Gd,TA
250,ClearCr,7,1958,1444,1444,700,2144,4,Gd,TA
251,BrkSide,2,1940,728,1306,0,1306,3,Fa,
252,Crawfor,5,2006,1573,1625,0,1625,2,Gd,TA
253,SawyerW,5,2004,798,798,842,1640,3,Gd,TA
254,NAmes,7,1964,1302,1302,0,1302,3,Gd,TA
255,NAmes,6,1957,1314,1314,0,1314,3,TA,TA
256,Gilbert,5,1999,975,1005,1286,2291,4,Gd,TA
257,Somerst,5,2003,864,864,864,1728,3,Gd,TA
258,CollgCr,5,2006,1604,1604,0,1604,3,Gd,TA
259,CollgCr,5,2001,963,963,829,1792,3,Gd,TA
260,OldTown,5,1956,0,882,0,882,2,TA,TA
261,NAmes,5,1962,1362,1382,0,1382,3,TA,TA
262,CollgCr,5,2007,1482,1482,1092,2574,3,Ex,TA
263,Sawyer,7,1977,506,1212,0,1212,3,TA,TA
264,OldTown,7,1929,926,926,0,1316,3,TA,TA
265,OldTown,5,1925,680,764,0,764,2,TA,TA
266,NWAmes,6,1981,1422,1422,0,1422,3,Gd,TA
267,Gilbert,5,1997,802,802,709,1511,3,TA,TA
268,SWISU,8,1939,720,1052,720,2192,4,Gd,TA
269,IDOTRR,6,1940,740,778,0,778,2,TA,Ex
270,Edwards,7,1976,1143,1113,0,1113,3,TA,Gd
271,Somerst,5,2006,1095,1095,844,1939,3,Gd,TA
272,ClearCr,7,1954,1385,1363,0,1363,2,TA,TA
273,NoRidge,7,1999,1152,1164,1106,2270,4,Gd,TA
274,NAmes,6,1958,1240,1632,0,1632,3,TA,TA
275,Mitchel,7,1982,816,816,0,816,2,TA,TA
276,BrkSide,7,1925,952,952,596,1548,3,Ex,TA
277,Mitchel,5,2003,1560,1560,0,1560,3,Gd,TA
278,Gilbert,5,1951,864,864,0,864,2,TA,TA
279,NridgHt,5,2006,2121,2121,0,2121,3,Ex,TA
280,ClearCr,5,1977,1160,1156,866,2022,4,TA,TA
281,SawyerW,6,1989,807,1175,807,1982,3,Gd,TA
282,Somerst,5,2006,1262,1262,0,1262,2,Gd,TA
283,NridgHt,5,2007,1314,1314,0,1314,2,Gd,TA
284,Somerst,5,2008,1468,1468,0,1468,3,Gd,TA
285,SawyerW,5,1992,1575,1575,0,1575,2,Gd,TA
286,Somerst,5,2006,625,625,625,1250,2,Gd,TA
287,NAmes,7,1962,912,1085,649,1734,3,Gd,TA
288,NAmes,4,1971,858,858,0,858,3,TA,
289,Sawyer,5,1967,882,900,0,900,3,TA,TA
290,BrkSide,7,1915,698,698,698,1396,3,TA,TA
291,CollgCr,5,2006,1079,1079,840,1919,3,Gd,TA
292,SWISU,6,1912,780,936,780,1716,6,Fa,
293,Edwards,4,1949,768,1148,568,1716,3,TA,TA
294,NWAmes,7,1977,795,1468,795,2263,3,Gd,TA
295,NAmes,5,1953,1416,1644,0,1644,3,TA,TA
296,Mitchel,6,1984,1003,1003,0,1003,3,TA,TA
297,IDOTRR,5,1950,910,910,648,1558,4,TA,TA
298,Somerst,5,1997,975,975,975,1950,3,Gd,TA
299,NWAmes,6,1968,702,1041,702,1743,3,TA,TA
300,Crawfor,8,1950,1092,1152,0,1152,3,Gd,TA
301,Crawfor,5,1953,1165,1336,0,1336,2,TA,TA
302,CollgCr,5,1998,1028,1210,1242,2452,4,Gd,TA
303,CollgCr,5,2001,1541,1541,0,1541,3,Gd,TA
304,CollgCr,7,1972,894,894,0,894,3,TA,TA
305,OldTown,9,1880,1470,1675,1818,3493,3,Gd,TA
306,CollgCr,5,2004,2000,2000,0,2000,3,Gd,TA
307,SawyerW,5,1990,700,1122,1121,2243,4,Gd,TA
308,IDOTRR,7,1920,319,1035,371,1406,3,Fa,
309,Edwards,5,1940,861,861,0,861,1,TA,TA
310,NridgHt,5,2003,1896,1944,0,1944,3,Ex,TA
311,Gilbert,5,1993,697,697,804,1501,3,Gd,TA
312,NAmes,6,1948,972,972,0,972,2,TA,TA
313,OldTown,7,1939,793,793,325,1118,3,TA,TA
314,Timber,5,1965,2136,2036,0,2036,3,TA,TA
315,OldTown,7,1925,728,832,809,1641,3,Ex,TA
316,Gilbert,5,2004,716,716,716,1432,3,Gd,TA
317,NWAmes,7,1980,845,1153,1200,2353,4,Ex,TA
318,Somerst,5,2006,1088,1088,871,1959,3,Gd,TA
319,NoRidge,5,1993,1347,1372,1274,2646,4,Gd,TA
320,NWAmes,5,1980,1372,1472,0,1472,3,TA,TA
321,NridgHt,5,2006,1249,1249,1347,2596,4,Gd,TA
322,NridgHt,5,2004,1136,1136,1332,2468,4,Gd,TA
323,SawyerW,5,1986,1502,1553,1177,2730,4,Gd,TA
324,OldTown,8,1955,1162,1163,0,1163,3,TA,TA
325,NAmes,7,1967,710,1898,1080,2978,5,Gd,TA
326,IDOTRR,6,1941,720,803,0,803,2,TA,TA
327,Veenker,5,1993,1719,1719,0,1719,1,Gd,TA
328,NAmes,5,1960,1383,1383,0,1383,3,TA,TA
329,BrkSide,6,1916,844,1445,689,2134,5,Gd,TA
330,IDOTRR,5,1920,596,596,596,1192,3,TA,Fa
331,NAmes,4,1964,1728,1728,0,1728,6,TA,TA
332,NAmes,6,1958,1056,1056,0,1056,3,TA,TA
333,NridgHt,5,2003,3206,1629,0,1629,3,Gd,TA
334,NridgHt,5,2004,1358,1358,0,1358,2,Gd,TA
335,Gilbert,5,1998,943,943,695,1638,3,TA,TA
336,Timber,6,1965,1499,1619,167,1786,3,TA,TA
337,StoneBr,5,2005,1922,1922,0,1922,3,Gd,TA
338,CollgCr,5,2002,1536,1536,0,1536,3,Gd,TA
339,NWAmes,7,1984,1208,1621,0,1621,3,Gd,TA
340,NAmes,7,1958,1215,1215,0,1215,3,TA,TA
341,Timber,5,2002,967,993,915,1908,4,Gd,TA
342,SawyerW,4,1950,721,841,0,841,2,TA,TA
343,NAmes,4,1949,0,1040,0,1040,2,TA,TA
344,NridgHt,5,2005,1684,1684,0,1684,2,Ex,TA
345,MeadowV,3,1976,536,536,576,1112,3,TA,TA
346,BrkSide,5,1939,972,972,605,1577,3,Fa,TA
347,NAmes,8,1960,958,958,0,958,2,TA,TA
348,NAmes,5,1960,1478,1478,0,1478,3,TA,TA
349,NridgHt,5,2003,764,764,862,1626,2,Gd,TA
350,NridgHt,5,2005,1848,1848,880,2728,4,Ex,TA
351,NridgHt,5,2007,1869,1869,0,1869,2,Ex,TA
352,ClearCr,5,1986,1453,1453,0,1453,2,Gd,TA
353,Edwards,6,1941,616,616,495,1111,3,TA,Fa
354,OldTown,8,1928,624,720,0,720,2,TA,TA
355,SWISU,5,1940,940,1192,403,1595,2,TA,TA
356,CollgCr,5,1995,1200,1200,0,1200,3,Gd,TA
357,Gilbert,6,1992,1158,1167,0,1167,3,Gd,TA
358,MeadowV,5,1976,1142,1142,0,1142,3,TA,TA
359,ClearCr,4,1958,1062,1352,0,1352,3,Gd,TA
360,NoRidge,5,1998,1086,1086,838,1924,3,Gd,TA
361,Mitchel,6,1978,888,912,0,912,2,TA,TA
362,BrkSide,5,1940,883,988,517,1505,3,TA,TA
363,Edwards,5,2003,0,495,1427,1922,4,Gd,TA
364,BrDale,8,1972,483,483,504,987,2,Gd,TA
365,NWAmes,5,1976,796,790,784,1574,3,TA,TA
366,IDOTRR,7,1920,672,672,672,1344,3,TA,Fa
367,NAmes,5,1963,1394,1394,0,1394,3,TA,TA
368,NAmes,5,1962,1099,1431,0,1431,3,TA,TA
369,NAmes,6,1954,1268,1268,0,1268,2,TA,TA
370,NAmes,7,1959,1063,1287,0,1287,3,Gd,TA
371,Gilbert,5,2000,953,953,711,1664,3,TA,TA
372,ClearCr,4,1959,0,1120,468,1588,4,TA,TA
373,SawyerW,5,1984,744,752,0,752,2,TA,TA
374,NAmes,6,1953,608,1319,0,1319,3,TA,TA
375,CollgCr,5,2003,847,847,1081,1928,4,Gd,TA
376,Edwards,1,1922,683,904,0,904,1,Fa,
377,CollgCr,5,1996,870,914,0,914,2,TA,TA
378,Somerst,5,2004,1580,1580,886,2466,4,Gd,TA
379,StoneBr,2,2010,1856,1856,0,1856,1,Ex,TA
380,Gilbert,5,2000,982,1007,793,1800,3,TA,TA
381,SWISU,6,1924,1026,1026,665,1691,3,Gd,TA
382,Somerst,5,2006,1293,1301,0,1301,2,Gd,TA
383,CollgCr,5,2006,939,939,858,1797,3,Gd,TA
384,SawyerW,3,1928,784,784,0,784,2,TA,Fa
385,ClearCr,5,1992,1580,1079,874,1953,3,Gd,TA
386,Blmngtn,5,2004,1256,1269,0,1269,2,Gd,TA
387,Edwards,3,1910,658,658,526,1184,5,TA,
388,Edwards,6,1976,1041,1125,0,1125,3,TA,TA
389,CollgCr,5,1999,1468,1479,0,1479,3,Gd,TA
390,NridgHt,5,2007,1682,1742,590,2332,3,Ex,TA
391,Edwards,8,1900,861,961,406,1367,4,TA,TA
392,Mitchel,5,2001,804,804,1157,1961,3,Gd,TA
393,NAmes,7,1959,0,882,0,882,3,TA,TA
394,BrkSide,5,1941,788,788,0,788,2,TA,
395,OldTown,6,1940,735,735,299,1034,2,TA,TA
396,Edwards,6,1956,1144,1144,0,1144,3,TA,TA
397,CollgCr,5,1972,894,894,0,894,2,TA,TA
398,NAmes,5,1962,864,876,936,1812,4,TA,TA
399,IDOTRR,2,1920,961,1077,0,1077,2,TA,Po
400,Somerst,5,2006,1092,1112,438,1550,2,Gd,TA
401,Veenker,5,1996,1260,1288,0,1288,1,Ex,TA
402,CollgCr,5,2005,1310,1310,0,1310,3,Gd,TA
403,Sawyer,8,1940,672,672,0,672,2,TA,TA
404,NoRidge,5,1998,1141,1165,1098,2263,4,Gd,TA
405,Gilbert,5,1995,806,806,766,1572,3,TA,TA
406,Sawyer,4,1976,1281,1620,0,1620,3,TA,TA
407,SWISU,5,1936,1064,1166,0,1639,3,TA,TA
408,Crawfor,7,1915,840,840,840,1680,4,TA,TA
409,NridgHt,5,2006,1063,1071,1101,2172,3,Gd,TA
410,Somerst,5,2007,1034,1050,1028,2078,3,Ex,TA
411,Edwards,3,1958,1276,1276,0,1276,3,TA,TA
412,Gilbert,5,1955,1056,1056,0,1056,3,TA,TA
413,Somerst,5,2009,1470,1478,0,1478,2,Gd,TA
414,OldTown,6,1927,1008,1028,0,1028,2,TA,TA
415,SawyerW,5,1993,1080,1080,1017,2097,3,Gd,TA
416,Gilbert,5,2007,1340,1340,0,1340,3,Gd,TA
417,Sawyer,7,1978,672,672,728,1400,3,TA,TA
418,Crawfor,6,1918,1370,1370,1254,2624,4,TA,TA
419,Edwards,6,1940,756,756,378,1134,3,TA,TA
420,NAmes,6,1968,1056,1056,0,1056,3,TA,TA
421,Mitchel,5,1997,1344,1344,0,1344,2,TA,TA
422,NWAmes,7,1977,1602,1602,0,1602,3,Gd,TA
423,Mitchel,5,1954,988,988,0,988,2,TA,TA
424,NoRidge,5,1998,1470,1470,1160,2630,4,Gd,TA
425,NAmes,5,1956,1196,1196,0,1196,2,TA,TA
426,OldTown,8,1946,651,707,682,1389,3,TA,TA
427,SawyerW,5,1989,1518,1644,0,1644,2,Gd,TA
428,NAmes,6,1957,907,907,0,907,3,TA,TA
429,CollgCr,5,2007,1208,1208,0,1208,2,Gd,TA
430,Timber,5,1988,1392,1412,0,1412,3,Gd,TA
431,BrDale,5,1971,483,483,504,987,2,TA,TA
432,OldTown,7,1920,901,1088,110,1198,4,TA,
433,BrDale,5,1971,765,765,600,1365,2,TA,TA
434,Gilbert,5,1997,926,926,678,1604,3,TA,TA
435,MeadowV,7,1972,630,630,0,630,1,TA,
436,CollgCr,6,1996,799,827,834,1661,3,Gd,TA
437,OldTown,8,1920,648,734,384,1118,2,TA,TA
438,BrkSide,7,1926,884,904,0,904,2,TA,TA
439,Crawfor,6,1913,440,694,0,694,2,Gd,TA
440,Edwards,8,1920,684,684,512,1196,3,Gd,TA
441,NridgHt,5,2008,3094,2402,0,2402,2,Ex,TA
442,Edwards,4,1955,1440,1440,0,1440,4,Fa,
443,BrkSide,7,1930,1078,1128,445,1573,3,TA,TA
444,Blmngtn,5,2006,1258,1258,0,1258,2,Gd,TA
445,CollgCr,5,1994,915,933,975,1908,4,Gd,TA
